iter	Passed	Remaining
0	1	160
1	3	156
2	4	150
3	5	139
4	7	135
5	8	133
6	9	130
7	11	128
8	12	126
9	13	124
10	15	122
11	16	120
12	17	118
13	18	116
14	20	114
15	21	112
16	22	110
17	23	108
18	25	107
19	26	105
20	27	104
21	29	103
22	30	101
23	31	99
24	32	98
25	34	97
26	35	96
27	37	95
28	38	93
29	39	92
30	41	91
31	42	90
32	43	89
33	45	88
34	46	86
35	47	85
36	49	84
37	50	82
38	52	81
39	53	80
40	55	79
41	55	76
42	56	75
43	58	74
44	59	72
45	60	71
46	62	70
47	63	68
48	64	67
49	66	66
50	67	65
51	69	64
52	71	62
53	72	61
54	73	59
55	74	58
56	75	57
57	76	55
58	78	54
59	79	53
60	80	51
61	82	50
62	83	49
63	85	47
64	86	46
65	87	45
66	89	43
67	90	42
68	91	41
69	93	40
70	94	38
71	96	37
72	97	36
73	99	34
74	100	33
75	101	32
76	103	30
77	104	29
78	106	28
79	107	26
80	109	25
81	110	24
82	112	22
83	113	21
84	114	20
85	116	18
86	117	17
87	118	16
88	120	14
89	122	13
90	124	12
91	125	10
92	126	9
93	128	8
94	129	6
95	130	5
96	132	4
97	133	2
98	134	1
99	135	0
