iter	Passed	Remaining
0	136	136764
1	138	68883
2	138	46166
3	139	34802
4	140	28017
5	141	23475
6	142	20234
7	143	17800
8	144	15905
9	145	14381
10	145	13123
11	146	12079
12	147	11200
13	148	10432
14	148	9765
15	149	9176
16	150	8673
17	150	8211
18	151	7797
19	151	7426
20	152	7090
21	152	6794
22	153	6514
23	154	6264
24	154	6034
25	155	5818
26	155	5616
27	156	5430
28	157	5256
29	157	5095
30	158	4943
31	158	4800
32	159	4669
33	159	4545
34	160	4427
35	161	4316
36	161	4210
37	162	4110
38	162	4015
39	163	3925
40	164	3843
41	164	3761
42	165	3684
43	166	3609
44	166	3540
45	167	3472
46	182	3705
47	183	3638
48	183	3570
49	184	3506
50	185	3444
51	185	3385
52	186	3328
53	186	3271
54	187	3217
55	187	3164
56	188	3115
57	188	3066
58	189	3019
59	189	2973
60	190	2929
61	190	2887
62	191	2845
63	191	2806
64	193	2776
65	193	2739
66	194	2707
67	195	2672
68	195	2641
69	196	2609
70	197	2578
71	197	2547
72	198	2517
73	198	2487
74	200	2469
75	200	2442
76	201	2415
77	202	2388
78	202	2363
79	203	2337
80	203	2313
81	204	2289
82	204	2262
83	205	2238
84	205	2215
85	206	2192
86	206	2170
87	207	2149
88	207	2128
89	208	2107
90	209	2088
91	209	2068
92	210	2049
93	210	2030
94	211	2011
95	211	1992
96	212	1974
97	212	1956
98	213	1939
99	213	1922
100	214	1906
101	214	1890
102	215	1874
103	215	1860
104	216	1845
105	217	1830
106	217	1815
107	218	1802
108	218	1788
109	219	1775
110	219	1761
111	220	1747
112	221	1734
113	221	1722
114	222	1710
115	222	1699
116	223	1686
117	224	1675
118	224	1665
119	225	1655
120	226	1644
121	226	1633
122	227	1622
123	228	1613
124	229	1603
125	229	1593
126	230	1582
127	230	1572
128	231	1563
129	232	1553
130	232	1543
131	233	1533
132	233	1524
133	234	1514
134	234	1505
135	235	1497
136	236	1487
137	236	1478
138	237	1469
139	237	1461
140	238	1453
141	238	1443
142	239	1435
143	240	1427
144	240	1418
145	241	1410
146	241	1402
147	242	1394
148	242	1386
149	243	1379
150	244	1372
151	244	1365
152	245	1357
153	245	1350
154	246	1342
155	246	1335
156	247	1328
157	247	1321
158	248	1314
159	249	1308
160	249	1300
161	250	1293
162	250	1287
163	251	1282
